provider,model,p99 QPS,ttft
together,Qwen/Qwen2.5-72B-Instruct-Turbo,67.17900408966203, 1.4351398779868032
together,deepseek-ai/DeepSeek-V3,46.52606908911769, 2.046421276461769 
together,deepseek-ai/DeepSeek-R1,38.43321688046536, 1.6709187734840087 
together,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,113.84993430825224, 1.2580496613139984 
together,Qwen/Qwen2.5-7B-Instruct-Turbo,92.68740117421179, 1.1132278090232284 
together,meta-llama/Llama-3.3-70B-Instruct-Turbo,79.05010818186662, 1.435682343749795 
openai,gpt-4o,35.65279766031066, 4.360160220021061
together,mistralai/Mistral-7B-Instruct-v0.2,20.853716016784382, 10.857437203743903
together,Qwen/QwQ-32B-Preview,19.139306661066183, 10.761450079434725
together,google/gemma-2-27b-it,5.470562052017502, 32.30025208763085
together,mistralai/Mixtral-8x7B-Instruct-v0.1,14.115809056012342, 5.627951457994641
